employee_id,name,title,birthday,email,phone
500000,Christopher Turner,Coordinator,2001-09-23,fernandezwilliam@example.com,'+1-896-557-0871
500001,Heidi Gardner,Manager,1986-12-08,frenchcharles@example.org,'+1-351-008-9523
500002,Teresa Martin,Technician,1995-09-27,gregory91@example.net,'+1-837-834-9492
500003,Regina Hartman,Cashier,2000-01-06,jakeleonard@example.org,'+1-974-773-4852
500004,Ryan Perkins,Data Scientist,1987-03-14,mark97@example.org,'+1-678-667-4312
500005,Brittney Norton,Customer Service Representative,1982-06-14,rodriguezlacey@example.com,'+1-400-616-1088
500006,Tiffany Ayala,Project Manager,1994-04-15,jameswilliams@example.com,'+1-442-843-4076
500007,Kaitlyn Hayes,Senior Developer,1998-08-26,swolf@example.net,'+1-446-760-1318
500008,Jonathan Stewart,Customer Service Representative,1986-08-08,juarezjames@example.com,'+1-431-660-0789
500009,Brianna Thompson,Data Scientist,1982-01-19,donaldcarlson@example.org,'+1-143-208-4656
500010,Jason Crawford,Marketing Specialist,1998-04-03,torreswanda@example.org,'+1-904-190-6267
500011,David Maxwell,Analyst,1992-10-12,vhunt@example.com,'+1-293-582-4547
500012,Eileen Edwards,Data Scientist,1976-12-29,gary54@example.net,'+1-243-898-8616
500013,Amber Hill,Cashier,2004-01-15,gloria61@example.net,'+1-605-283-5371
500014,Kyle Gonzales,Customer Service Representative,1996-04-24,daniel46@example.com,'+1-310-934-1893
500015,Daniel Simpson,Project Manager,1998-09-22,wangbrooke@example.net,'+1-819-632-7335
500016,Jennifer Wilson,Customer Service Representative,1986-01-28,donna35@example.com,'+1-244-696-5100
500017,Lisa West,Customer Service Representative,1980-04-29,colemanjames@example.org,'+1-928-914-3051
500018,Jennifer Black,Software Engineer,1991-04-04,stephanie44@example.org,'+1-367-598-3904
500019,Tim Bradley,Marketing Specialist,1986-03-21,jon04@example.org,'+1-249-732-2301
500020,Ricardo Rojas MD,Marketing Specialist,1979-08-03,sarah41@example.org,'+1-997-589-4688
500021,Monica Hinton,Sales Representative,1971-12-12,david18@example.org,'+1-368-096-7521
500022,Breanna Kennedy,Project Manager,1978-05-15,xclayton@example.org,'+1-267-974-5159
500023,Jeremy Mills,Accountant,1996-12-01,npitts@example.com,'+1-417-671-5294
500024,Jesus Mayer,Analyst,1988-05-16,leemeghan@example.com,'+1-310-897-2078
500025,Ryan Mcconnell,Project Manager,1986-10-30,hunterchloe@example.com,'+1-280-625-0382
500026,Laura Ross,Senior Developer,1990-05-25,qcohen@example.net,'+1-113-180-9089
